cote,auteur,titre,adresse,description_tech,descrip_matiere
DIS.001,GROUPE REVUE FIDUCIAIRE,Archiver dans une entreprise privée commerciale,"Paris : GRF, s.d.",1 disquette : format RTF word PC,/ARCHIVES//ENTREPRISE PRIVEE//COMMERCE/
DIS.002,GROUPE REVUE FIDUCIAIRE,Consultation des archives dans une entreprise privée commerciale,"Paris : GRF, s.d.",1 disquette : format RTF word PC,/ARCHIVES//ENTREPRISE PRIVEE//COMMERCE/
DVD.001,SONABHY,Pourquoi la folie des pompes ? RESSOURCE  : film documentaire,"[ouagadougou] : SONABHY, 2007","1 DVD : 52 min, coul.",/PRIX DU BARIL//HYDROCARBURE//HAUSSE//PETROLE//CONSOMMATEUR/ DESCRIP GEO: /BURKINA FASO/
CDR.001,BURKINA FASO (MPDH),Code de protection de l'enfance : recueil des textes RESSOURCE  : recueil,"Ouagadougou : MPDH, 2006","1 CD-ROM : 700 mb / 80 min NOTES;: Appui de l'UNICEF, Save the children Suède, Aide à l'enfance Canada, SONABHY, LONAB",/ENFANCE//DROIT HUMAIN/ DESCRIP GEO: /BURKINA FASO/
CDR.002,"""HERMES ; LAVOISIER""",Catalogue complet : plus de 2000 ouvrages,"Paris : HERMES, LAVOISIER, 2005",1 cd rom COLLECTION : HERMES SCIENCE PUBLICATIONS,/CATALOGUE//DOCUMENTATION//INFORMATION DOCUMENTAIRE/
CDR.003,AFNOR,Records management : gestion et conservation des documents en toute sécurité,"Saint-Denis la Plaine : AFNOR, 2004",1 cd rom COLLECTION : Recueil normes et réglementation : 20,/GESTION DOCUMENTAIRE//RECORDS MANAGEMENT//SECURITE//CONSERVATION//ARCHIVES/
CDR.004,INSTITUT FRANCAIS DE PETROLE,Economie de la chaîne pétrolière,"Paris : IFP, s.d.","730 mb, 80 min",/ECONOMIE PETROLIERE//PETROLE//PRODUCTION PETROLIERE//TRANSPORT/
CDR.005,INSTITUT FRANCAIS DE PETROLE,Les marchés pétroliers,"Paris : IFP, s.d.","730 mb, 80 min",/MARCHE PETROLIER//PETROLE//PRIX DU BARIL/
CDR.006,CONSEIL BURKINABE DES CHARGEURS,"""Incidences crise ivoirienne ; desserte maritime""","Ouagadougou : CBC, 2004",1 cd-rom,/TRANSPORT//DESSERTE MARITIME//CRISE ECONOMIQUE/ DESCRIP GEO: /BURKINA FASO//COTE D'IVOIRE/
CDR.007,LIAISONS SOCIALES,Jurisprudence sociale et code du travail,"Ruel-Malmaison : Groupe LIAISONS SA, 2004",1 cd rom NOTES;: Code d'accès : 2KYC36,/JURISPRUDENCE//CODE DU TRAVAIL//LEGISLATION SOCIALE/
CDR.008,LIAISONS SOCIALES,"Les archives du quotidien 2001, 2002, 2003","Ruel-Malmaison : Groupe LIAISONS, 2004",1 cd rom NOTES;: Edition 2004,/ARCHIVES//GESTION DOCUMENTAIRE//JURISPRUDENCE//LEGISLATION SOCIALE/
CDR.009,"""AIF ; IEPF""","Informations, références et textes choisis sur le développement durable","s.l. : IEPF, 2002","1 cd rom COLLECTION : LIAISON ENERGIE FRANCOPHONIE N°55, 56, 57",/DEVELOPPEMENT DURABLE//DEVELOPPEMENT ECONOMIQUE ET SOCIAL/
CDR.010,GROUPE REVUE FIDUCIAIRE,"Le formulaire de l'entreprise juridique, commercial, social et fiscal","Paris : GRF, 2008",1cd-rom,/ENTREPRISE//DROIT//COMMERCE//SOCIAL//FISCALITE/
CDR.011,BURKINA FASO (MCPEA),Balance commerciale et commerce extérieur 1997-2002,"Ouagadougou : MCPEA, 2006","""1 cd-rom ; 299p""",/COMMERCE//COMMERCE EXTERIEUR//BALANCE COMMERCIALE/ DESCRIP GEO: /BURKINA FASO/
CDR.012,INSTITUT NATIONAL DE LA STATISTIQUE ET DE LA DEMOGRAPHIE,"Les comptes économiques de la nation , série de comptes 1999-2005 : comptes définitifs RESSOURCE  : 1 CD- ROM","Ouagadougou : INSD, 2009.",,/ECONOMIE//COMPTE//RESSOURCE FINANCIERE//MATERIEL/ DESCRIP GEO: /BURKINA FASO/
CDR.013,"INSTITUT NATIONAL DE LA STATISTIQUE ET DE LA ""DEMOGRAPHIE  ;  PROJET D'APPUI AU RENFORCEMENT DES CAPACITES DU SYSTEME"" STATISTIQUE NATIONAL(ARC-SSN)",La population du Burkina Faso de 1997-2006 : par région et province RESSOURCE  : 1 CD-ROM,"Ouagadougou : INSD, 2009.",,/RECENSEMENT//POPULATION//STATISTIQUE//DEMOGRAPHIE/ DESCRIP GEO: /BURKINA FASO/
CDR.014,"INSTITUT NATIONAL DE LA STATISTIQUE ET DE LA ""DEMOGRAPHIE  ;  PROJET D'APPUI AU RENFORCEMENT DES CAPACITES DU SYSTEME"" STATISTIQUE NATIONAL (ARC-SSN)",Projections demographiques de 2007 à 2020 : par région et privince RESSOURCE  : 1 CD-ROM,"Ouagadougou : INSD, 2009.",,/PROJECTION DEMOGRAPHIQUE//POPULATION//RECENSEMENT//STATISTIQUE/ DESCRIP GEO: /BURKINA FASO/
CDR.015,"INSTITUT NATIONAL DE LA STATISTIQUE ET DE LA ""DEMOGRAPHIE  ;  PROJET D'APPUI AU RENFORCEMENT DES CAPACITES DU SYSTEME"" STATISTIQUE NATIONAL (ARC-SSN)","Conceptions, définitions, indicateurs, méthodologies, et nomenclatures utilisés dans le système statistique national RESSOURCE  : 1 CD-ROM","Ouagadougou : INSD, 2009.",,/STATISTIQUE//METHODOLOGIE//DEMOGRAPHIE/ DESCRIP GEO: /BURKINA FASO/
CDR.016/DVD.002,SONABHY,Cérémonie de présentation de voeux du personnel de la SONABHY : vendredi 22 janvier 2010 RESSOURCE  : 1 CD-ROM + 1 DVD,"Ouagadougou : SONABHY, 2010.",,/PRESENTATION//VOEUX//SONABHY/ DESCRIP GEO: /BURKINA FASO/
CDR.017,CHAMBRE DE COMMERCE ET D'INDUSTRIE DU BURKINA FASO,Récueil des notes sectorielles 2009-2010 RESSOURCE  : 1 CD-ROM,"Ouagadougou : Chambre de Commerce et d'Industrie du Burkina Faso, 2011.",39p : ill. en coul.,/TOURISME//TRANSPORT//ENERGIE//ELEVAGE//ECONOMIE/ DESCRIP GEO: /BURKINA FASO/
CDR.018,SONABHY,SERIE D'ENTRETIENS AVEC LES RESPONSABLES DE LA SONABHY RESSOURCE  : CD-ROM115Mo,"[ OUAGADOUGOU ] : SONABHY, 2008",02H 04MN NOTES;: CINQ ( 05 ) ENTRETIENS,/TRAORE OULA//PRODUCTION PETROLIERE//OUEDRAOGO FATOUMATA//STRUCTURE DES PRIX//DIASSO JOSEPH//GESTION ENERGETIQUE//YAMEOGO T. JEAN HUBERT//MISSION//KABORE HILAIRE//ENERGIE ALTERNATIVE/
CDR.019 AUTEUR PP  : AGENCE FRANCAISE DE DEVELOPPEMENT,,Rapport annuel = annual report 1999 RESSOURCE  : CDR-ROM,,"""CDROM ; 56,6 MO""",/DEVELOPPEMENT ECONOMIQUE ET SOCIAL//INVESTISSEMENT//FINANCEMENT/
PHO.001,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 65 PHOTOS,,"PHO. 12,5/8,5 ET 18/12,5cm, EN COUL.",/PRESENTATION// VOEUX/
PHO.002,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 137 PHOTOS,,"""PHO.16,5/12,5cm; EN COUL.""",/PRESENTATION//VOEUX//YAMEOGO JOSEPH GERMAIN/
PHO.003,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 97 PHOTOS,,"""PHO.18/12,5cm; EN COUL."" NOTES;: /PRESENTATION//VOEUX//YAMEOGO JOSEPH GREMAIN/",
PHO.004,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 153 PHOTOS,,"""PHO.16/12,5cm; EN COUL.""",/PRESENTATION//VOEUX//YAMEOGO JOSEPH GERMAIN/
PHO.005,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 60 PHOTOS,,"""PHO.16/12,5cm; EN COUL.""",/PRESENTATION//VOEUX/
PHO.006,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 187 PHOTOS,,"""PHO.28/32cm,15/21cm,12,5/16cm; EN COUL.""",/PRESENTATION//VOEUX/
PHO.007,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 354 PHOTOS EN 3 VOL.,,"""PHO.16/12,5cm; EN COUL."" COLLECTION : 03 VOL",/PRESENTATION//VOEUX/
PHO.008,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 100 PHOTOS,,"""PHO.16/12,5cm; EN COUL.""",/PRESENTATION//VOEUX/
PHO.009,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 100 PHOTOS,,"""PHO.16/12,5cm; EN COUL.""",/PRESENTATION//VOEUX/
PHO.010,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 207 PHOTOS EN 2 VOL,,"""PHO.16/12,5cm; EN COUL."" COLLECTION : 02 VOL.",/PRESENTATION//VOEUX/
PHO.011,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 200 PHOTOS,,"""PHO.16/12,5cm; EN COUL.""",/PRESENTATION//VOEUX/
PHO.012,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 31 PHOTOS,,"""PHO.15,5/12,5cm; EN COUL.""",/PRESENTATION//VOEUX/
PHO.013,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 72 PHOTOS,,"""PHO.16/12,5cm; EN COUL.""",/PRESENTATION//VOEUX/
PHO.014,SONABHY,PRESENTATION DE VOEUX RESSOURCE  : 81 PHOTOS,,"""PHO.16/12,5cm; EN COUL.""",/PRESENTATION//VOEUX/
PHO.015,SONABHY,INAUGURATION RESSOURCE  : 245 PHOTOS EN 4 VOL.,,"""PHO.15/10,5cm, 18/12,5cm; EN COUL"" NOTES;: 04 VOL.",/INAUGURATION//THOMBIANO/
PHO.016,SONABHY,INAUGURATION RESSOURCE  : 74 PHOTOS,,"""PHO.16/12,5cm; EN COUL.""",/INAUGURATION/
PHO.017,SONABHY,INAUGURATION DE NOUVELLE INSTALLATION AU DEPOT DE BOBO RESSOURCE  : 117 PHOTOS,,"""PHO.15,5/12,5cm; EN COUL.""",/INAUGURATION//INSTALLATION//BOBO/
PHO.018,SONABHY,INAUGURATION RESSOURCE  : 96 PHOTOS,,"""PHO.12,5/8,5cm; EN COUL.""",/INAUGURATION/
PHO.019,SONABHY,INAUGURATION RESSOURCE  : 95 PHOTOS,,"""PHO.12,5/8,5cm; EN COUL.""",/INAUGURATION/
PHO.020,SONABHY,INAUGURATION RESSOURCE  : 65 PHOTOS,,"""PHO.17,5/12,5cm; EN COUL.""",/INAUGURATION/
PHO.021,SONABHY,INAUGURATION RESSOURCE  : 56 PHOTOS,,"""PHO.15,5/12,5cm; EN COUL.""",/INAUGURATION/
PHO.022,SONABHY,INAUGURATION RESSOURCE  : 60 PHOTOS,,"""PHO.15,5/12,5cm; EN COUL.""",/INAUGURATION/
PHO.023,SONABHY,INAUGURATION RESSOURCE  : 43 PHOTOS,,"""PHO.16,5/12,5cm; EN COUL.""",/INAUGURATION/
PHO.024,SONABHY,ARBRE DE NOEL DES ENFANTS RESSOURCE  : 43 PHOTOS,,"""PHO.16/12,5cm; EN COUL..""",/ARBRE//NOEL//ENFANT/
PHO.025,SONABHY,ARBRE DE NOEL DES ENFANTS RESSOURCE  : 96 PHOTOS,,"""PHO.16/12,5cm; EN COUL.""",/ARBRE//NOEL//ENFANT/
PHO.026,SONABHY,ARBRE DE NOEL DES ENFANTS RESSOURCE  : 155 PHOTOS EN VOL,,"""PHO.15/12,5cm; EN COUL."" COLLECTION : 02 VOL",/ARBRE//NOEL// ENFANT/
PHO.027,SONABHY,ARBRE DE NOEL DES ENFANTS RESSOURCE  : 80 PHOTOS,,"""PHO.16/12,5cm; EN COUL.""",/ARBRE//NOEL//ENFANT/
PHO.028,SONABHY,ARBRE DE NOEL DES ENFANTS RESSOURCE  : 80 PHOTOS,,"""PHO.16/12,5cm; EN COUL.""",/ARBRE//NOEL//ENFANT/
PHO.029,SONABHY,ARBRE DE NOEL DES ENFANTS RESSOURCE  : 308 PHOTOS EN 02 VOL.,,"""PHO.16/12,5cm; EN COUL."" COLLECTION : 02 VOL.",/ARBRE//NOEL//ENFANT/
PHO.030,SONABHY,ARBRE DE NOEL DES ENFANTS RESSOURCE  : 113 PHOTOS,,"""PHO.16/12,5cm; EN COUL.""",/ARBRE//NOEL//ENFANT/
PHO.031,SONABHY,ARBRE DE NOEL DES ENFANTS RESSOURCE  : 36 PHOTOS,,"""PHO.18/12,5cm; EN COUL""",/ARBRE//NOEL//ENFANT/
PHO.032,SONABHY,PRESENTATION DE SIEGE ET DEPOT RESSOURCE  : 100 PHOTOS,,"""PHO.16,5/12cm; EN COUL.""",/PRESENTATION//SIEGE//DEPOT/
PHO.033,SONABHY,PRESENTATION DE SIEGE ET DEPOT RESSOURCE  : 86 PHOTOS,,"""PHO.12,5/16cm; EN COUL.""",/PRESENTATION//SIEGE//DEPOT/
PHO.034,SONABHY,JOURNEE PROMOTIONNELLE-GAZ RESSOURCE  : 151 PHOTOS EN 02 VOL.,,"""PHO.8,5/12,5cm, 11/16cm; EN COUL."" COLLECTION : 02 VOL.",/GAZ//PROMOTIONNELLE//JOURNEE/
PHO.035,SONABHY,"""JOURNEE""""PORTES OUVRTES"""""" RESSOURCE  : 56 PHOTOS",,"""PHO.12,5/17,5cm; EN COUL.""",/JOURNEE//PORTE//OUVERTE/
PHO.036,SONABHY,CONVENTION DU PERSONNEL SUR LE PLAN STRATEGIQUE 2004-2008. RESSOURCE  : 100 PHOTOS,,"""PHO.12,5/17,5cm; EN COUL.""",/CONVENTION//PLAN STRATEGIQUE//SONABHY//RESSOURCE HUMAINE/
PHO.037,SONABHY,CONVENTION DU PERSONNEL SUR LE PLAN STRATEGIQUE 2004-2008 RESSOURCE  : 47 PHOTOS,,"""PHO.12/18cm, 8/12cm; EN COUL. ET NOIR-BLANC""",/CONVENTION//PLAN STRATEGIQUE//SONABHY//RESSOURCE HUMAINE/
PHO.038,SONABHY,INCENDIE AU DEPOT DE BINGO RESSOURCE  : 99 PHOTOS,,"""PHO.12,5/18cm; EN COUL.""",/DEPOT DE BINGO//INCENDIE/
PHO.039 AUTEUR PP  : YAMEOGO JOSEPH GERMAIN,,ABNVS FAIR PLAY: CERTIFICATION DE RECONNAISSANCE A MONSIEUR JEAN HUBERT POUR SON SOUTIENT INESTIMABLE RESSOURCE  : 67 PHOTOS,,"""PHO.17,5/12cm; EN COUL.""",/ABNVS FAIR PLAY//YAMEOGO JEAN HUBERT//RECONNAISSANCE/
CDR.020,MICROSOFT LICENSING,Microsoft Windows Server 2003 RESSOURCE  : CD,"Ouagadougou : MICROSOFT CORPORATION, 2003",7 CD NOTES;: /MICROSOFT//LICENCE//WINDOWS//SERVEUR/,
CDR.021,MICROSOFT LICENSING,Microsoft Exchange 2003 RESSOURCE  : 3 CD,"Ouagadougou : MICROSOFT CORPORATION, 2003",/MICROSOFT//LICENCE//WINDOWS//EXCHANGE/,
CDR.022,MICROSOFT LICENSING,Microsoft Corporate Error Reporting RESSOURCE  : CD,"Ouagadougou : MICROSOFT CORPORATION, 2003",1 CD,/MICROSOFT//LOGICIEL//WINDOWS/
CDR.023,MICROSOFT LICENSING,Microsoft Exchange Server 2003 : Intelligent Message Filtrer RESSOURCE  : CD,"Ouagadougou : MICROSOFT CORPORATION, 2004",,/MICROSOFT//WINDOWS//EXCHANGE//SERVEUR/
CDR.024,MICROSOFT LICENSING,Microsoft Windows : Preinstallation Environnement 2004,"Ouagadougou : MICROSOFT CORPORATION, 2004",,/MICROSOFT//WINDOWS//ENVIRONNEMENT//LOGICIEL/
CDR.025,MICROSOFT LICENSING,Microsoft Windows : Préinstallation Environnement 2004 RESSOURCE  : 1 CD,"Ouagadougou : MICROSOFT CORPORATION, 2005",,/MICROSOFT//WINDOWS//LOGICIEL//ENVIRONNEMENT/
CDR.026,MICROSOFT LICENSING,Microsoft : SQL Server 2005 RESSOURCE  : CD 1 et 2,"Ouagadougou : MICROSOFT CORPORATION, 2006",,/MICROSOFT//SQL//SERVEUR//LOGICIEL/
CDR.027,MICROSOFT LICENSING,Microsoft : SQL Server 2005 RESSOURCE  : 32 bit,"Ouagadougou : MICROSOFT CORPORATION, 2006",CD 1 et 2,/MICROSOFT//SQL//SERVEUR/
CDR.028,MICROSOFT LICENSING,Microsoft Windows Server 2003 R2 : Servers Windows,"Ouagadougou : MICROSOFT CORPORATION, 2006",Standard x64 Edition,/MICROSOFT//WINDOWS//SERVEUR/
CDR.029,MICROSOFT LICENSING,Microsoft Virtual PC Express Early Release RESSOURCE  : CD,"Ouagadougou : MICROSOFT CORPORATION, 2006",,/MICROSOFT//ASSURANCE//LOGICIEL//MATERIEL INFORMATIQUE/
DVD.003,MICROSOFT LICENSING,Microsoft SQL Server 2005 RESSOURCE  : MSDN Library DVD,"Ouagadougou : MICROSOFT CORPORATION, 2006",1 CD,/MICROSOFT//SQL//SERVEUR//LOGICIEL/
DVD.004,MICROSOFT LICENSING,Microsoft SQL Server 2005 RESSOURCE  : x64 for DVD installation,"Ouagadougou : MICROSOFT CORPORATION, 2006",1 DVD,/MICROSOFT//SQL//SERVEUR/
DVD.005,MICROSOFT LICENSING,Microsoft SQL Server 2005,"Ouagadougou : MICROSOFT CORPORATION, 2006",1 DVD,/MICROSOFT//SQL//SERVEUR//LOGICIEL/
CDR.030,MICROSOFT LICENSING,Microsoft Windows Server 2003 R2 : Servers Windows RESSOURCE  : Standard 32 bit,"Ouagadougou : MICROSOFT CORPORATION, 2007","CD 1 et 2, entreprise éd.",/MICROSOFT//WINDOWS//SERVEUR/
DVD.006,MICROSOFT LICENSING,"""Microsoft Office Professional Plus 2007 ; Applications"" microsoft Office Family RESSOURCE  : DVD","Ouagadougou : MICROSOFT CORPORATION, 2007",,/MICROSOFT OFFICE//PROFESSION//LOGICIEL/
DVD.007,MICROSOFT LICENSING,Microsoft Windows Server TM 2003 for Itanium Based Systems : Servers Windows 2007 RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2007",,/MICROSOFT//WINDOWS//SERVEUR/
DVD.008,MICROSOFT LICENSING,Microsoft Windows Vista TM Enterprise : systems software Assurance Windows vista Enterprise RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2007",,/MICROSOFT//WINDOWS VISTA//ASSURANCE//ENTREPRISE/
