cote,auteur,titre,adresse,description_tech,descrip_matiere
DVD.009,MICROSOFT LICENSING,Microsoft Windows Vista TM Business : systems Windows client business RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2007",,/MICROSOFT//WINDOWS VISTA//CLIENTELE//AFFAIRE/
DVD.010,MICROSOFT LICENSING,Microsoft system center OPS Manager Server 2007 : Servers Applications RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2007",,/MICROSOFT//SERVEUR//MANAGEMENT//LOGICIEL/
DVD.011,MICROSOFT LICENSING,Microsoft Office SharePoint Server 2007 : Servers Applications RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2007",,/MICROSOFT OFFICE//SHAREPOINT//SERVEUR//LOGICIEL/
DVD.012,MICROSOFT LICENSING,"Server Applications : Microsoft SharePoint, Microsoft Office Project, Microsoft Internet security, Microsoft SQL, 2003, 2006-2007 RESSOURCE  : DVD","Ouagadougou : MICROSOFT CORPORATION, 2007",,/SERVEUR//MICROSOFT//SHAREPOINT//OFFICE PROJECT//INTERNET//SECURITE INFORMATIQUE//SQL/
DVD.013,MICROSOFT LICENSING,Microsoft Windows Server TM 2008 : Servers Windows 2008 RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2008",Standard x64 édition,/MICROSOFT//WINDOWS//SERVEUR/
DVD.014,MICROSOFT LICENSING,Microsoft System Center OPS Manager Server 2007 with SP1 and SQL Server 2005 SP2 Technology,"Ouagadougou : MICROSOFT CORPORATION, 2008",,/MICROSOFT//SERVEUR//TECHNOLOGIE//MANAGEMENT/
DVD.015,MICROSOFT LICENSING,Microsoft Windows Vista TM Business : Systems Windows client Business 2008 RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2008",,/MICROSOFT//WINDOWS VISTA//AFFAIRE//CLIENTELE/
DVD.016,MICROSOFT LICENSING,"""Windows Servers 2008 R2 Enterprise ; Servers Windows"" RESSOURCE  : DVD","Ouagadougou : MICROSOFT CORPORATION, 2008",X64 / 64 - bit,/WINDOWS//SERVEUR//ENTREPRISE//MICROSOFT/
DVD.017,MICROSOFT LICENSING,Microsoft Windows 7 professional : systems Windows client Business RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2009",,/MICROSOFT//WINDOWS//CLIENTELE//AFFAIRE/
DVD.018,MICROSOFT LICENSING,Microsoft Exchange Server 2010 standard : Servers Applications RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2009",,/MICROSOFT//EXCHANGE//SERVEUR//LOGICIEL/
DVD.019,MICROSOFT LICENSING,Microsoft Office Professional Plus 2010 : applications microsoft office family RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2010",,/MICROSOFT OFFICE//LOGICIEL/
DVD.020,MICROSOFT LICENSING,Microsoft SQL Server 2008 R2 Enterprise : Servers applications RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2010",,/MICROSOFT//SQL//SERVEUR//ENTREPRISE/
DVD.021,MICROSOFT LICENSING,Microsoft Office Professional Plus 2010 : Applications Microsoft Office Family 2011 RESSOURCE  : DVD et CD,"Ouagadougou : MICROSOFT CORPORATION, 2011",,/MICROSOFT OFFICE//LOGICIEL/
DVD.022,MICROSOFT LICENSING,Microsoft Windows 7 professional : systems Windows client business RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2011",,/MICROSOFT//WINDOWS//CLIENTELE//AFFAIRE/
DVD.023,MICROSOFT LICENSING,Microsoft Windows Server 2008 R2 standard : Servers Windows 2011 RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2011",,/MICROSOFT//WINDOWS//SERVEUR/
DVD.024,MICROSOFT LICENSING,Microsoft Office Professional Plus 2010 : Applications Microsoft Office Family RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2012",w/service Pact 1,/MICROSOFT OFFICE//LOGICIEL/
DVD.025,MICROSOFT LICENSING,Microsoft Office Professional Plus 2013 : Applications Microsoft Office Family RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2012",,/MICROSOFT OFFICE//LOGICIEL/
DVD.026,MICROSOFT LICENSING,Microsoft Windows 8 Pro : Systems Windows client : business 2012 RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2012",32-bit x 86 Full,/MICROSOFT//WINDOWS//CLIENTELE//AFFAIRE/
DVD.027,MICROSOFT LICENSING,Microsoft Windows Server 2012 standard : Servers Windows Servers RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2012",,/MICROSOFT//WINDOWS//SERVEUR/
DVD.028,MICROSOFT LICENSING,Microsoft Exchange Server standard 2013 : Servers Applications 2012 RESSOURCE  : DVD,"Ouagadougou : MICROSOFT CORPORATION, 2012",,/MICROSOFT//EXCHANGE//SERVEUR//LOGICIEL/
DVD.029,SYMANTEC,Veritas Netbackup : Server / Enterprise Server V6.5 RESSOURCE  : DVD,"s.l. : SYMANTEC CORPORATION, 2007",,/SYMANTEC//SERVEUR//ENTREPRISE//SECURITE INFORMATIQUE/
CDR.031,,"Divers fichiers sauvegardés : RESSOURCE  : 1 CD : 34,3 MO","Ouagadougou : SONABHY, 2004","""509 Fichiers ; 7 dossiers""",/SONABHY//INFORMATION//COURRIER/
CDR.032,,"Documentation sur le droit commercial, droit fiscal, droit du travail, brèves informations sur l'AFD, indicateurs économiques RESSOURCE  : 1 CD : 3,08 MO","s.l. : s.n., 2013",5 fichiers COLLECTION : Extrait de la revue : Droit des affaires du Burkina Faso 2013,/DROIT//COMMERCE//FISCALITE//TRAVAIL//AFD//INDICATEUR ECONOMIQUE//ECONOMIE/ DESCRIP GEO: /BURKINA FASO/
CDR.033,MCPEA,"Rapport en conseil des ministres adressé au Président du Faso RESSOURCE  : 1 CD : 76,5 KO","Ouagadougou : MCPEA, 2004",1 fichier Word,/CONSEIL DE MINSTRE//TAXE//PRODUIT PETROLIER//STRUCTURE DE PRIX//TPP//SONABHY/ DESCRIP GEO: /BURKINA FASO/
CDR.034,MICROSOFT,Microsoft Windows Server 2003 RESSOURCE  : 1 CD : 551 MO,"s.l. : MICROSOFT CORPORATION, 2003",8093 fichiers : 57 dossiers,/MICROSOFT//WINDOWS//SERVEUR/
CDR.035,MICROSOFT WINDOWS,"Internet Security et acceleration Server 2006 RESSOURCE  : ""1 CD ; 133 MO""","s.l. : MICROSOFT CORPORATION, 2006","""627 fichiers ; 94 dossiers""",/INTERNET//SECURITE INFORMATIQUE//SERVEUR/
CDR.036,CISCO,"CISCO Catalyst 3560 Serie Switches RESSOURCE  : 1 CD : 42,8 MO","s.l. : CISCO, 2009","""73 fichiers ; 11 dossiers""",/CISCO//SWITVHES//DOCUMENTATION/
CDR.037,HP DEVELOPMENT COMPANY,HP Proliant Networking Software drivers documentation utilities RESSOURCE  : 1 CD : 102 MO,"s.l. : HP DEVELOPMENT COMPANY, 2006","""713 fichiers ; 91 dossiers""",/HP//MATERIEL INFORMATIQUE/
CDR.038,MICROSOFT WINDOWS,Microsoft Windows XP : applications RESSOURCE  : 1 CD : 885 MO,"s.l. : MICROSOFT CORPORATION, s. d.","""13189 fichiers ; 675 dossiers""",/MICROSOFT//WINDOWS XP//LOGICIEL/
CDR.039,CANON,ImageFORMULA DR-X10C : document scanner septup disc RESSOURCE  : 1 CD : 605 MO,"s.l. : CANON ELECTRONICS INC, s. d.","""119 fichiers ; 22 dossiers""",/document//scanner//numerisation//scannerisation/
REL.001,SONABHY,DISQUE DUR D1-08 : DONNEES INFORMATIQUES AU AOUT 2018 RESSOURCE  : DISQUE DUR = RESSOURCE EN LIGNE,,BASE DE DONNEES,/DONNEE INFORMATIQUE//BASE DE DONNEES//SAUVEGARDE//SONABHY/
REL.002,SONABHY,DISQUE DUR N°001 : DONNEES INFORMATIQUES AU JUILLET 2019 RESSOURCE  : DISQUE DUR = RESSOURCE EN LIGNE,,BASE DE DONNEES,/DONNEE INFORMATIQUE//BASE DE DONNEES//SAUVEGARDE//SONABHY/
REL.003,SONABHY,DISQUE DUR N°001 : DONNEES INFORMATIQUES AU SEPTEMBRE 2019 RESSOURCE  : DISQUE DUR = RESSOURCE EN LIGNE,,BASE DE DONNEES,/DONNEE INFORMATIQUE//BASE DE DONNEES//SAUVEGARDE//SONABHY/
CDR.040,CEIA INTERNATIONAL,Divers rapports sur les travaux de construction des infrastructures au profit de la SONABHY. RESSOURCE  : 52x / 700MB / 80min,NOTES;: Pièces jointe du courrier arrivée n°1900 du 03 avril 2019,,/INFRASTRUCTURE//SONABHY//ROUTE//PARKING//DEPOT DE BINGO/
CDR.041,CEIA INTERNATIONAL,Divers rapports sur les travaux de construction des infrastructures au profit de la SONABHY RESSOURCE  : 12x speed / 700MB / 80 min,NOTES;: Pièce jointe du courrier arrivée n°4696 du 06 septembre 2019,,/INFRASTRUCTURE//SONABHY//ROUTE//PARKING//DEPOT DE BINGO/
PHO.040,SONABHY,PRENTATION DE VOEUX DU PERSONNEL A MONSIEUR LE DIRECTEUR GENERALE RESSOURCE  : 1 ALBUM DE 60 PHOTOS,,PHOTO  EN COUL.,/PRESENTATION DE VOEUX//RESSOURCEHUMAINE//DIRECTEUR GENERALE//SONBHY/
PHO.041,SONABHY,ARBRE DE NOEL RESSOURCE  : 1 LOT DE 72 PHOTOS,,PHOTO  EN COUL.,/ARBRE DE NOEL//NOEL//PARENT//ENFANT//CADEAU//SONABHY/
PHO.042,SONABHY,ARBRE DE NOEL A LA SONABHY RESSOURCE  : 1 ALBUM DE 52 PHOTOS,,PHOTO  EN COUL.,/ARBRE DE NOEL//NOEL//CADEAU//PARENT//ENFANT//SONABHY
PHO.043,SONABHY,ARBRE DE NOEL 2005 RESSOURCE  : 1 ALBUM DE 58 PHOTOS,,PHOTO  EN COUL.,/ARBRE DE NOEL//NOE//CADEAU//PARENT//ENFANT//SONABHY/
PHO.044,SONABHY,PRESENTATION DE VOEUX A L'OCASION DU NOUVEL AN 2004 RESSOURCE  : 1 ALBUM DE 72 PHOTOS,,PHOTO  EN COUL.,/PRESENTATION DE VOEUX//NOUVEL AN//RESSOURCE HUMAINE//DIRECTEUR GENERALE/
PHO.045,SONABHY,EXERCICE INCENDI CONJOINT SONABHY -BNSP RESSOURCE  : 1 ALBUM DE 148 PHOTOS,,PHOTO  EN COUL. NOTES;: THEME:FEU DE CUVETTE CONTENANT UN BAC DE SUPER 91 CAPACITE 6500 m3,/EXERCICE//INCENDIE//SECURITE//DEPOT DE BINGO//BNSP//SONABHY/
BAN.001,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) : M1J RESSOURCE  : 800GB,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.002,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M2J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASEDE DONNEES//SONABHY/
BAN.003,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M3J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASEDE DONNEES//SONABHY/
BAN.004,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M4J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.005,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M5J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.006,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M6J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASEDE DONNEES//SONABHY/
BAN.007,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M7J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.008,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M8J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.009,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M9J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.010,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M10J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.011,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M11J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.012,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M12J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.013,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M13J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.014,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M14J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.015,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M15J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.016,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M16J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.017,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M17J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.018,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M18J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.019,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M19J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.020,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M20J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.021,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M21J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.022,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M22J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.023,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M23J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.024,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M24J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.025,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M25J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.026,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M26J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.027,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M27J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.028,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M28J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.029,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M29J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.029,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M29J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.030,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M30J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.031,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M31J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.032,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M32J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.033,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M33J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.034,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M34J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
BAN.035,SONABHY,BANDE DE SAUVEGARDE (CARTOUCHE DE DONNEES) M35J RESSOURCE  : 800MG,,,/SAUVEGARDE//BASE DE DONNEES//SONABHY/
CDR.042,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU OFFICE PRO 2003 RESSOURCE  : 700MB,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.043,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU 25 AOUT 2005 RESSOURCE  : 700MB,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.044,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU 05 SEPTEMBRE 2005 RESSOURCE  : 700MB,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.045,SONABHY,"DONNEES SUR LA FACTURATION : CD-ROM DU 1er, 25,26,29,30,31 SEPTEMBRE 2005 RESSOURCE  : 700MB",,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
CDR.046,SONABHY,DONNEES SUR LA FACTURATION : CD-ROM DU 07 SEPTEMBRE 2005 RESSOURCE  : 700MB,,80 minutes,/BASE DE DONNEES// FACTURATION// SONABHY/
